	SYMBOL	RAE.GENE	Chr12q
1	CDKN2A	-1	
2	CDK4	0.936	X
3	CDKN2A	-1	
4	MDM2	0.957	X
5	METTL21B	NA	X
6	TYMS	-1	
7	STX11	-1	
8	SMC4	-1	
9	COL3A1	-1	
10	PTGER3	-1	
11	TSFM	0.92	X
12	NA	NA	
13	EIF5	-1	
14	CTDSP2	0.92	X
15	ZWINT	-1	
16	CTDSP2	0.92	X
17	EIF1	0.08	
18	PTGER3	-1	
19	METTL1	0.872	X
20	DHRS12	0.123	
21	SLC25A16	0.091	
22	PTGER3	-1	
23	KIAA0907	0.182	
24	LINC00312	NA	
25	SELE	-1	
26	TSFM	0.92	X
27	EIF1	0.08	
28	PRELP	0.118	
29	SRSF4	NA	
30	AVIL	0.92	X
31	ADRBK2	0.102	
32	PPL	-1	
33	PTGER3	-1	
34	COL3A1	-1	
35	PEX5	0.086	
36	LIMCH1	-1	
37	SEPT6	NA	
38	MDM2	0.957	X
39	ABCC10	0.075	
40	HBG2	0.107	
41	ADRBK2	0.102	
42	EIF1	0.08	
43	AGBL5	-1	
44	DMTN	NA	
45	CKAP2	-1	
46	GLYAT	0.075	
47	S100A1	-1	
48	C5orf15	0.059	
49	COL5A1	0.053	
50	EIF1	0.08	
51	HBA1	0.07	
52	IL11RA	-1	
53	HBA1	0.07	
54	COPS2	0.07	
55	COL5A1	0.053	
56	COL5A1	0.053	
57	ZMAT3	-1	
58	MDM2	0.957	X
59	DDOST	0.075	
60	CALB2	0.075	
61	HBA1	0.07	
62	HBA1	0.07	
63	DOCK10	0.053	
64	NA	NA	
65	SNN	-1	
66	COL3A1	-1	
67	CXCL2	0.043	
68	TEK	0.139	
69	HBA2	0.07	
70	DNAJB1	-1	
71	PERP	-1	
72	PCDH9	0.128	
73	HBB	0.107	
74	LGALS3	0.107	
75	PDE8A	-1	
76	EIF1	0.08	
77	AP3M2	0.096	
78	APOB	-1	
79	FOSL2	-1	
80	COL1A1	0.059	
81	SMURF1	-1	
82	PTTG1	0.112	
83	TNS1	-1	
84	PDE3B	0.123	
85	COL1A2	0.07	
86	RFC4	-1	
87	SLC35E3	0.754	X
88	CCNT2	0.07	
89	CX3CL1	0.07	
90	FGF2	0.048	
91	HBB	0.107	
92	METTL3	-1	
93	PRELP	0.118	
94	GLYAT	0.075	
95	MFAP2	0.075	
96	HBB	0.107	
97	MDM2	0.957	X
98	IL8	0.043	
99	SPP1	-1	
100	CLSTN2	0.053	
101	RPS19	-1	
102	PPP6C	-1	
103	SEPT6	NA	
104	PLOD2	-1	
105	SOCS3	-1	
106	C11orf24	-1	
107	HBA2	0.07	
108	ECHDC3	0.075	
109	NECAP2	0.07	
110	CAST	-1	
111	MRAS	0.053	
112	PCYOX1L	0.075	
113	TRMT13	NA	
114	PPP2R1B	0.176	
115	PTGER3	-1	
116	NA	NA	
117	TMEM39A	-1	
118	PLAG1	0.134	
119	TM7SF2	0.091	
120	MAOB	NA	
121	RPS27L	-1	
122	THBD	-1	
123	ALDH2	0.123	
124	TMED9	0.091	
125	CXCL10	-1	
126	ABHD5	0.064	
127	CX3CL1	0.07	
128	XPNPEP1	-1	
129	KIAA0101	-1	
130	ABCA5	-1	
131	SESN1	0.075	
132	KLF4	-1	
133	HMGN1	0.08	
134	IL8	0.043	
135	RCN3	-1	
136	TNS1	-1	
137	TSFM	0.92	X
138	YEATS2	-1	
139	NNAT	-1	
140	RFX5	0.171	
141	B3GNT9	-1	
142	MELK	-1	
143	RNASE4	0.064	
144	KIAA0368	-1	
145	THBS1	0.086	
146	LUC7L3	NA	
147	DAPK2	0.064	
148	BMPR2	0.075	
149	MXRA5	NA	
150	PEG10	0.07	
151	NUSAP1	-1	
152	CCT2	0.877	X
153	IGF2	-1	
154	RACGAP1	-1	
155	SORBS1	0.032	
156	CYB5A	0.064	
157	MET	-1	
158	ASMTL	NA	
159	FZD2	-1	
160	PTGER3	-1	
161	ANXA3	0.043	
162	RAB11FIP1	-1	
163	TMED3	-1	
164	S100A12	-1	
165	WISP2	-1	
166	NSMCE4A	0.059	
167	UGP2	-1	
168	COL1A1	0.059	
169	MAP3K8	0.053	
170	PTPRD	-1	
171	KLF11	-1	
172	ALDOC	0.043	
173	NUP43	0.166	
174	SOD1	-1	
175	PPP6C	-1	
176	MAPT	0.064	
177	YEATS4	0.845	X
178	IL6	-1	
179	PTRF	0.08	
180	RAI2	NA	
181	STON1	-1	
182	SOCS3	-1	
183	GALC	-1	
184	BNIP3L	0.091	
185	CCT2	0.877	X
186	CDK12	NA	
187	EGFR	-1	
188	HADH	0.043	
189	NA	NA	
190	COL5A2	0.043	
191	ADPGK	-1	
192	PTPN3	-1	
193	LIMCH1	-1	
194	NA	NA	
195	TOMM20	0.193	
196	NEDD4L	0.053	
197	JUNB	-1	
198	S100P	-1	
199	CEP112	NA	
200	TM4SF1	-1	
201	ECE1	-1	
202	NANOS1	0.048	
203	GLT8D1	-1	
204	HSP90AB1	-1	
205	RRM2	0.043	
206	CAT	0.123	
207	C2CD2	-1	
208	CYB5A	0.064	
209	FTSJ2	0.123	
210	LIMCH1	-1	
211	ICAM1	-1	
212	GRB10	-1	
213	RPS19	-1	
214	TNIP1	-1	
215	STAT5B	0.08	
216	SUGP2	NA	
217	TRO	NA	
218	ETF1	-1	
219	CDK1	NA	
220	MT1G	0.07	
221	TMBIM1	0.053	
222	ZC3H12A	-1	
223	ZIC1	-1	
224	COPB1	-1	
225	SOX17	-1	
226	CD55	0.112	
227	THBD	-1	
228	HMG20A	-1	
229	DCLRE1C	0.07	
230	CSF3	0.064	
231	MYOC	-1	
232	PNN	-1	
233	SLC35G2	NA	
234	MCM2	-1	
235	IFRD1	-1	
236	SYNRG	NA	
237	TM4SF1	-1	
238	PFKFB3	0.064	
239	EFNB2	0.123	
240	DTL	-1	
241	PDCD11	-1	
242	ARPP19	NA	
243	HMGN1	0.08	
244	IL1R2	-1	
245	MEG3	0.107	
246	CYP27B1	0.872	X
247	NA	NA	
248	KLHL21	-1	
249	MT1E	0.07	
250	CTTNBP2NL	-1	
251	CASP3	-1	
252	NT5C2	-1	
253	MXI1	0.032	
254	GGA2	-1	
255	PPP3CB	0.064	
256	SEPT9	0.086	
257	C1orf115	0.139	
258	LDLR	-1	
259	SETDB1	0.176	
260	FKBP14	0.134	
261	HRSP12	-1	
262	MAD2L1	-1	
263	NA	NA	
264	TOP2A	-1	
265	CDC42EP4	-1	
266	IL1B	-1	
267	SERPINE2	0.053	
268	LMCD1	-1	
269	NA	NA	
270	TACC2	0.027	
271	SSH1	0.118	
272	IRF1	-1	
273	GCLM	0.059	
274	FAM149B1	NA	
275	EIF4E2	0.048	
276	C1orf54	0.144	
277	SEC24D	-1	
278	RPN2	0.134	
279	SLC29A1	-1	
280	PLOD2	-1	
281	KIAA0922	0.053	
282	PDIA4	0.075	
283	IFI44	0.064	
284	SSR1	-1	
285	TTC31	0.043	
286	DCP2	0.064	
287	PNP	NA	
288	SEC24D	-1	
289	DNMT1	0.139	
290	MAP3K7	0.07	
291	PNN	-1	
292	RNASE4	0.064	
293	C3orf37	0.08	
294	TRO	NA	
295	MAGED2	NA	
296	HSP90B1	0.096	
297	KCMF1	-1	
298	LUC7L3	NA	
299	SEC31A	-1	
300	PODXL	-1	
301	ID1	-1	
302	NA	NA	
303	ICAM1	-1	
304	GALNT1	0.053	
305	AHNAK	0.094	
306	SULT1C4	0.08	
307	FGF2	0.048	
308	BCL7B	-1	
309	NA	NA	
310	PPP2R1B	0.176	
311	AGPAT2	-1	
312	GPX7	0.086	
313	NID2	-1	
314	S100A8	-1	
315	SNRNP200	0.075	
316	SLC19A3	-1	
317	ETV5	-1	
318	S100A8	-1	
319	STMN1	0.08	
320	KIAA0040	NA	
321	IRS2	0.134	
322	ARMCX6	NA	
323	COQ2	-1	
324	RCN3	-1	
325	MARCKS	0.15	
326	TEAD1	0.128	
327	FANCI	0.048	
328	LDHB	-1	
329	RNF111	-1	
330	CAT	0.123	
331	CCNL1	0.064	
332	CAPN6	NA	
333	MAOA	NA	
334	S100A13	-1	
335	AKR1B1	0.08	
336	FERMT2	0.107	
337	BARD1	0.059	
338	PFKFB1	NA	
339	PHLPP1	NA	
340	MIR22HG	NA	
341	DSG2	-1	
342	NDRG1	-1	
343	GPHN	0.091	
344	KIAA1033	-1	
345	TOP2A	-1	
346	RAPGEF6	0.064	
347	NA	NA	
348	PIAS2	0.059	
349	MT1HL1	NA	
350	NA	NA	
351	SEPT8	0.064	
352	COL1A2	0.07	
353	DNAJA2	0.091	
354	HADH	0.043	
355	COL16A1	0.08	
356	BTN3A3	-1	
357	OGT	NA	
358	HSPA1A	NA	
359	LAGE3	NA	
360	LEPRE1	0.091	
361	MT1F	0.07	
362	MFAP1	-1	
363	CROCCP2	NA	
364	PLOD1	0.08	
365	CCNH	-1	
366	DDOST	0.075	
367	CXCL9	-1	
368	SPTBN1	-1	
369	YBX3	NA	
370	RNGTT	0.059	
371	ATP9A	-1	
372	PLA2G16	0.091	
373	NA	NA	
374	CLK2	0.171	
375	CHP1	NA	
376	ATP7A	NA	
377	HIST1H2BK	-1	
378	COL6A1	0.07	
379	ADRB2	-1	
