	SYMBOL	FDR	FC	avg.CDK4_inhib	avg.Untreated	NAME
iTtHHqiu9edyfUY4pk	PRC1	2.90287296731794e-12	-9.34	145.58	1360.34	protein regulator of cytokinesis 1
HClLklAJJdNRQpNZ4I	CDC20	5.34280877785165e-12	-17.15	99.44	1705.5	cell division cycle 20
iKKgVb_bmVB1QukAKA	KIAA0101	7.79033780643097e-12	-14.77	64.98	960.15	KIAA0101
3oz7S38qvqejlisAvc	TYMS	3.17365112840781e-11	-11.12	182.64	2031.06	thymidylate synthetase
Zn2Iv_F5eCJFI_RN1U	PTTG3P	3.17365112840781e-11	-11.63	124.66	1449.74	pituitary tumor-transforming 3, pseudogene
irp0SIKOkjrklBDnhY	GINS2	3.95307516453413e-11	-6.82	71.19	485.57	GINS complex subunit 2 (Psf2 homolog)
NRBiFzZZNtCuhcC9Vk	AURKB	7.01414724546644e-11	-11.03	46.35	511.18	aurora kinase B
ooKJT36B6GH3gB6KGI	CDCA3	7.01414724546644e-11	-9.29	60.87	565.41	cell division cycle associated 3
NjXGdGm9V.HQN6l.6Q	KIF20A	7.01414724546644e-11	-10.04	76.65	769.27	kinesin family member 20A
0nu9VB3veZGASze.ik	CEP55	7.01414724546644e-11	-11.05	67.04	741.02	centrosomal protein 55kDa
BngJ4o2iQv3oZHz9XU	CDC45	7.01414724546644e-11	-13.21	65.65	867.11	cell division cycle 45
x.Sd_F7Vd6eXeLeDdU	TOP2A	7.01414724546644e-11	-17.48	86.47	1511.35	topoisomerase (DNA) II alpha
lekrQ59WhGjR.7ePUk	MCM7	7.01414724546644e-11	-9.05	203.56	1841.95	minichromosome maintenance complex component 7
rSTjV0ngdAJbQIX5dU	CCNB2	7.65858791397555e-11	-8.14	70.75	576	cyclin B2
Wg57u3taRVrKXj6v3I	AURKA	7.80162508352687e-11	-9.11	133.43	1215.96	aurora kinase A
ojLV_BETnlid6ABVEk	UBE2C	8.73131149945912e-11	-16.17	129.68	2097.04	ubiquitin-conjugating enzyme E2C
rr5wo6ngnqt6F9DQJc	PTTG1	8.73131149945912e-11	-7.15	150.02	1072.28	pituitary tumor-transforming 1
3ZI6Kh14TJSee4DDoI	CDKN3	9.9524621718127e-11	-8.63	81.5	703	cyclin-dependent kinase inhibitor 3
6V04FQT4y1fgRE55Yk	UBE2C	1.19148439069315e-10	-12.65	141.33	1787.41	ubiquitin-conjugating enzyme E2C
