	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
Wpz7X7s14SZTu7SVO0	YWHAH	1.34493058669228e-08	-5.18	2534.47	489.23	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta
TiBCjVCIJR.t8PnqiU	PIR	7.13876375378651e-08	-7.08	709.45	100.19	pirin (iron-binding nuclear protein)
i6dUKK7JK7iQzy5TuU	PRDX6	1.15309416029639e-07	-4.52	1457.13	322.68	peroxiredoxin 6
rSTjV0ngdAJbQIX5dU	CCNB2	1.70084020693762e-07	-4.71	705.38	149.63	cyclin B2
HClLklAJJdNRQpNZ4I	CDC20	5.72113916251192e-07	-4.93	2119.17	430.14	cell division cycle 20
ovX.nlT_os7pD1y534	SERBP1	8.67296446945736e-07	-3.17	297.87	94.02	SERPINE1 mRNA binding protein 1
oSUU3UiV6kk.1JCMxg	NA	1.05623346180782e-06	2.79	1056.73	2950.53	NA
EWhqR6mHuXZ4oAMHAQ	NA	1.05623346180782e-06	-3.68	1765.34	480.18	NA
in7S1rfIjFd.XguKbk	CMTM7	1.47261416419994e-06	-2.83	598.42	211.74	CKLF-like MARVEL transmembrane domain containing 7
KWfoRgQJRH3B596YHg	SYNCRIP	2.20496133874132e-06	-2.72	782.47	287.81	synaptotagmin binding, cytoplasmic RNA interacting protein
xp6k.U0zIXeV9Isl0U	CENPA	2.20496133874132e-06	-4.58	359.34	78.52	centromere protein A
ZKnvriJIfiuOMvpd60	ARL6IP1	2.32629682139921e-06	-3.29	2180.42	663.27	ADP-ribosylation factor-like 6 interacting protein 1
EtF3iuXnpNd1VOfHDE	TAGLN2	3.30068849938777e-06	-2.86	617.04	215.66	transgelin 2
irp0SIKOkjrklBDnhY	GINS2	4.00758464625827e-06	-2.89	532.32	184.17	GINS complex subunit 2 (Psf2 homolog)
0d83FzheYnlRRVS__Y	GTSE1	4.83594517475957e-06	-3.11	274.3	88.22	G-2 and S-phase expressed 1
N4TSXn31Xeaf0eeL94	TK1	4.83594517475957e-06	-3.35	599.9	178.86	thymidine kinase 1, soluble
WSemIeyVXVHVEdHfkg	CENPM	5.09777080775831e-06	-3.7	635.8	171.75	centromere protein M
ooKJT36B6GH3gB6KGI	CDCA3	5.42061322928366e-06	-3.52	569.98	161.91	cell division cycle associated 3
ooufegc0lR_FFS.ugk	DUT	7.1142685204834e-06	-2.65	186.99	70.62	deoxyuridine triphosphatase
H5KWLx3fVAo7kHpWig	CENPA	7.79344491212885e-06	-2.84	189.99	66.85	centromere protein A
