SYMBOL	chr12.miRNA.Target	chr12.miRNA.Target.Consistent
CDKN2A		0
CDK4		0
CDKN2A		0
MDM2		0
METTL21B		0
TYMS;ENOSF1		0
STX11		0
SMC4;TRIM59		0
TSPAN31;CDK4		0
COL3A1		0
PTGER3		0
TSFM;AVIL		0
NA		0
EIF5		0
CTDSP2		0
ZWINT		0
CTDSP2		0
EIF1	X	-1.87718982537612
PTGER3		0
METTL1		0
DHRS12		0
SLC25A16		0
PTGER3		0
KIAA0907		0
LINC00312		0
SELE		0
TSFM		0
EIF1	X	-1.80522875294769
PRELP		0
SRSF4		0
AVIL		0
ADRBK2		0
PPL		0
PTGER3		0
COL3A1		0
PEX5		0
LIMCH1	X	-4.21038890971758
SEPT6		0
MDM2		0
ABCC10		0
HBG2		0
ADRBK2		0
EIF1	X	-5.63140317926652
AGBL5		0
DMTN		0
CKAP2		0
GLYAT		0
S100A13;S100A1		0
C5orf15		0
COL5A1		0
RNASE4;ANG;RP11-903H12.3		0
EIF1	X	-1.81701746716576
HBA1		0
IL11RA		0
HBA1		0
COPS2		0
COL5A1		0
COL5A1		0
ZMAT3		0
MDM2		0
DDOST		0
CALB2		0
HBA1		0
HBA1		0
DOCK10		0
NA		0
SNN		0
COL3A1		0
CXCL2		0
TEK		0
HBA2		0
DNAJB1		0
PERP		0
PCDH9		0
HBB		0
TSPAN31;CDK4		0
LGALS3		0
PDE8A		0
SMC4;TRIM59		0
EIF1	X	-1.34137260071504
AP3M2		0
APOB		0
FOSL2		0
COL1A1		0
SMURF1		0
PTTG1		0
TNS1		0
PDE3B		0
COL1A2		0
RFC4		0
SLC35E3		0
CCNT2		0
CX3CL1		0
FGF2		0
HBB		0
METTL3		0
PRELP		0
GLYAT		0
MFAP2		0
HBB		0
MDM2		0
IL8		0
SPP1		0
CLSTN2		0
RPS19		0
PPP6C		0
SEPT6		0
PLOD2		0
SOCS3		0
C11orf24		0
HBA2		0
ECHDC3		0
NECAP2		0
CAST		0
MRAS		0
PCYOX1L		0
TRMT13;LRRC39		0
PPP2R1B		0
PTGER3		0
NA		0
TMEM39A		0
PLAG1		0
TM7SF2		0
MAOB		0
RPS27L		0
THBD		0
ALDH2		0
TMED9		0
CXCL10		0
ABHD5		0
CX3CL1		0
XPNPEP1		0
KIAA0101		0
ABCA5		0
SESN1		0
KLF4		0
HMGN1		0
IL8		0
RCN3		0
TNS1		0
TSFM;AVIL		0
YEATS2		0
NNAT		0
RFX5		0
B3GNT9		0
MELK		0
RNASE4;RP11-903H12.3		0
MARS;AVIL		0
KIAA0368		0
THBS1		0
LUC7L3		0
DAPK2		0
BMPR2		0
MXRA5		0
PEG10		0
NUSAP1		0
CCT2		0
IGF2		0
RACGAP1		0
SORBS1		0
CYB5A		0
MET		0
TOM1L1;COX11		0
