	FDR	FC	NF1300	NF1347	NF1311	NF1341	WD1297	WD1349	WD1306	WD1340
PRG4	5.74617124766123e-21	-26.441593705398	30097.9392138007	13368.5921249761	5989.23726813502	2588.4568065849	982.611329926884	456.881958970559	511.304336976784	56.2493767553773
MYOC	3.03329615696869e-15	-61.2817942877405	1699.69409042829	3656.72358696694	6044.10942244347	3819.10713795141	8.83246139260121	190.161680220179	60.8695639258076	84.374065133066
MAMDC2	3.63236058149041e-13	-5.92854170747861	4795.70437871415	3862.50118805862	3212.93975865645	5856.36970357835	723.157776519223	491.456809919683	623.082990731449	1268.48084315698
XG	3.63236058149041e-13	-7.34337115517622	984.033420774274	766.104447307522	3168.57503815174	1858.69111143495	133.590978563093	103.72455284737	407.272718630859	269.767419132932
WISP2	9.51451168479498e-13	-36.6953860604754	8345.48501913571	6928.30936648527	15024.4628467114	38725.6800364913	278.222533866938	311.173658542111	728.221328421481	243.938623684034
GRID2	6.38494931999810e-12	1414.69620317311	0	0	0	0	241.788630622458	7.40889663195502	46.4822124524349	278.377017615898
WNT2	1.00349578035605e-11	-11.3478591693791	2574.82262669	828.671961152964	1102.11305674843	1199.13772180321	170.024881807573	118.54234611128	59.7628445817021	138.90152219185
ITGA11	7.76718930671512e-11	-7.8426964952792	3908.90746196895	4852.45829601316	3127.71279558162	4998.89501177716	461.496107763413	321.052187384718	671.778641872096	774.289890234734
C1QTNF7	2.78802407833847e-10	-6.07939215247773	2223.47472546493	457.438045670009	1572.61259262727	2198.14273023955	365.443090118875	79.0282307408535	209.169956035957	424.740191826318
EPB49	4.29594769875569e-09	-5.07208563250261	4466.39675173567	2498.52938622798	9616.636915717	6274.87927269085	1235.44053729009	382.792992651009	1341.34384505598	1596.79353197408
FNDC1	4.45654606740446e-09	-15.4511871956467	10876.2270973325	22107.1882253895	7936.61499976255	9515.14952971651	1487.16568697923	392.671521493616	650.750974334089	740.999442767266
TFF3	4.79307151875399e-09	-46.7811336669717	426.544131007557	214.119936271068	105.074338037457	462.737793060991	5.52028837037575	1.23481610532584	8.85375475284475	9.18357171516364
PRELP	5.45567048603509e-08	-12.512167550617	21723.9314868165	17378.4745678707	21017.202592781	32701.2430819088	1200.11069171969	645.808823085412	5219.28842680198	2791.23182817755
CPSF6	5.45567048603509e-08	5.82814038174807	5618.97344616034	10808.8856140992	3794.35109579704	4090.00500963586	38939.0101069565	64546.3074575922	12735.0194926231	33634.8314067868
STRADB	6.58243981673917e-08	-3.65024285142507	3692.39417966421	4506.25138606839	4505.35411651716	2537.59434904414	1032.29392526027	1186.65827721813	1048.063218868	833.983106383298
CACNA1I	1.0330040139266e-07	32.6894896801055	19.4473008058157	65.3482922385727	19.8473749626307	72.976569514995	4203.1475652041	2095.48293073795	378.498015684113	895.972215460653
