GENE,CNA,12q13-15,shMDM2,CDK4i
MDM2,X,X,X,X
ANPEP,X,,X,X
AURKA,X,,X,X
BARD1,X,,X,X
BIRC5,X,,X,X
FANCI,X,,X,X
FGF2,X,,X,X
HMMR,X,,X,X
LRP10,X,,X,X
MAP1A,X,,X,X
MCM4,X,,X,X
NCAPG,X,,X,X
PTTG1,X,,X,X
RRM2,X,,X,X
STMN1,X,,X,X
TMEM97,X,,X,X
TPX2,X,,X,X
TRIP13,X,,X,X
UBE2C,X,,X,X
VAT1,X,,X,X
VEGFB,X,,X,X
CPSF6,X,X,,X
NUP107,X,X,,X
YEATS4,X,X,,X
ASPM,,,X,X
BUB1B,,,X,X
CAST,,,X,X
CCNB1,,,X,X
CCNB2,,,X,X
CDK1,,,X,X
CENPF,,,X,X
CKAP2,,,X,X
DTL,,,X,X
HMGB3,,,X,X
KIAA0101,,,X,X
KIF11,,,X,X
KIF4A,,,X,X
KNTC1,,,X,X
MCM2,,,X,X
MELK,,,X,X
NETO2,,,X,X
NUSAP1,,,X,X
ORC6,,,X,X
RRAGC,,,X,X
SMC4,,,X,X
TMPO,,,X,X
TOP2A,,,X,X
TYMS,,,X,X
XPO1,,,X,X
ZWINT,,,X,X
ARID5B,X,,,X
ASTN2,X,,,X
AVPI1,X,,,X
CAT,X,,,X
IFITM2,X,,,X
NUP43,X,,,X
PCK2,X,,,X
PEG10,X,,,X
PKIA,X,,,X
TMBIM1,X,,,X
ZDHHC14,X,,,X
AP3M2,X,,X,
BNIP3L,X,,X,
CDKN1A,X,,X,
ITGB5,X,,X,
LRRC32,X,,X,
MT1X,X,,X,
SDC1,X,,X,
SHMT2,X,,X,
SLC2A3,X,,X,
AVIL,X,X,,
CAND1,X,X,,
CCT2,X,X,,
CDK4,X,X,,
CNOT2,X,X,,
CTDSP2,X,X,,
CYP27B1,X,X,,
DYRK2,X,X,,
FRS2,X,X,,
KCNMB4,X,X,,
LGR5,X,X,,
MDM1,X,X,,
METTL1,X,X,,
SLC35E3,X,X,,
TSFM,X,X,,
TSPAN8,X,X,,
ARHGAP33,,,,X
C10orf10,,,,X
C2CD2,,,,X
CEBPD,,,,X
COQ2,,,,X
CTPS1,,,,X
DLEU1,,,,X
FBLN2,,,,X
GPX3,,,,X
HOOK2,,,,X
IDS,,,,X
IL13RA1,,,,X
KLF4,,,,X
MTF2,,,,X
MYL9,,,,X
NACC2,,,,X
NUPR1,,,,X
SAT1,,,,X
SCPEP1,,,,X
SHCBP1,,,,X
YPEL5,,,,X
ABCA1,,,X,
ACSL4,,,X,
ACVR1,,,X,
ALCAM,,,X,
ANGPTL4,,,X,
CYBRD1,,,X,
DPP4,,,X,
DSTN,,,X,
FZD2,,,X,
HMBS,,,X,
MET,,,X,
PAMR1,,,X,
RGS17,,,X,
RND3,,,X,
SDC4,,,X,
UGP2,,,X,
AADAC,X,,,
AATF,X,,,
ABCC10,X,,,
ABHD5,X,,,
ACAT1,X,,,
ACSM5,X,,,
ADCY3,X,,,
ADH1A,X,,,
ADH1B,X,,,
ADK,X,,,
ADM,X,,,
ADRA2A,X,,,
ADRBK2,X,,,
AHDC1,X,,,
AHNAK,X,,,
AK1,X,,,
AKR1C1,X,,,
ALDH1A2,X,,,
ALDH2,X,,,
ALDOC,X,,,
ALOX5AP,X,,,
AMOTL2,X,,,
ANO3,X,,,
APIP,X,,,
APOBEC3A,X,,,
APOD,X,,,
AQP9,X,,,
ARFGAP1,X,,,
ATF7IP2,X,,,
ATP13A3,X,,,
ATP1B3,X,,,
AXL,X,,,
B4GALT1,X,,,
BAI2,X,,,
BCL2A1,X,,,
BCL3,X,,,
BCL7A,X,,,
BCR,X,,,
BMP2,X,,,
C1orf63,X,,,
C3orf37,X,,,
CASP4,X,,,
CBX7,X,,,
CCL2,X,,,
CCND2,X,,,
CD44,X,,,
CD55,X,,,
CDC42EP2,X,,,
CDH10,X,,,
CDKN1C,X,,,
CFD,X,,,
CFLAR,X,,,
CHST10,X,,,
CISH,X,,,
CLCF1,X,,,
CLEC3B,X,,,
CLSTN2,X,,,
COL16A1,X,,,
COPS2,X,,,
CORO2B,X,,,
CREBL2,X,,,
CSF1,X,,,
CSF3,X,,,
CSRP1,X,,,
CX3CL1,X,,,
CXCL1,X,,,
CXCL2,X,,,
CXCL3,X,,,
CXCL6,X,,,
CYB5A,X,,,
DAPK2,X,,,
DHRS12,X,,,
DLK1,X,,,
DNAJA1,X,,,
DNM1,X,,,
DNTTIP2,X,,,
DOCK10,X,,,
DTX3,X,,,
ECHDC3,X,,,
EHD1,X,,,
EIF1,X,,,
EIF2S1,X,,,
ENC1,X,,,
EREG,X,,,
ERLIN1,X,,,
ESM1,X,,,
ETV1,X,,,
EVL,X,,,
FAM69A,X,,,
FASTK,X,,,
FBLN5,X,,,
FBN1,X,,,
FBN2,X,,,
FDFT1,X,,,
FDXR,X,,,
FERMT2,X,,,
FFAR2,X,,,
FGFR2,X,,,
FMOD,X,,,
FOSL1,X,,,
FOXC1,X,,,
FPR1,X,,,
FPR2,X,,,
G0S2,X,,,
GABARAPL1,X,,,
GADD45B,X,,,
GCLM,X,,,
GDF11,X,,,
GDPD5,X,,,
GINS1,X,,,
GLYAT,X,,,
GNPTAB,X,,,
GPM6A,X,,,
GPR4,X,,,
GPR56,X,,,
GPRC5A,X,,,
GPX4,X,,,
GPX7,X,,,
GRB14,X,,,
HADH,X,,,
HAS1,X,,,
HBA1,X,,,
HMGA2,X,,,
HMOX1,X,,,
HOXD4,X,,,
HSD11B1,X,,,
HSPH1,X,,,
IDO1,X,,,
IFITM1,X,,,
IGF1,X,,,
IGFBP6,X,,,
IL17RA,X,,,
IL8,X,,,
IRS2,X,,,
KCTD7,X,,,
KIAA0907,X,,,
KLHL2,X,,,
KRT8,X,,,
LAMB3,X,,,
LCK,X,,,
LGALS3,X,,,
LGR4,X,,,
LIF,X,,,
LILRA2,X,,,
LILRA5,X,,,
LTBP4,X,,,
MAFF,X,,,
MAN1C1,X,,,
MAP3K8,X,,,
