GENE	PROBE.U133A	FDR.U133A	FC.U133A	FDR.RNA_POOLED	FC.RNA_POOLED	FDR.RNA_PAIRED	FC.RNA_PAIRED	CGH.RAE	CGH.Chr12	FDR.MDM2	FC.MDM2	FDR.CDK4	FC.CDK4	miRNA.TARGET	shRNA.RANK	shRNA.PCT.RANK	shRNA.MIN.KD	shRNA.MED.KD	shRNA.MAX.KD
CDKN2A	209644_x_at	1.19647378087751e-25	13.2516020380149	0.0152051466270963	12.2433328909272	0.000923997268483957	50.177275082985	0			0		0		4217	37.5947222965142	-0.797439634459255		-0.496669240749996
CDK4	202246_s_at	1.71388535163246e-21	14.9568375015695	0.00123228893137697	7.71212830097935	0.000198129104905405	13.2858660560741	0.936	X		0		0		8824	78.6663100650798	-0.514772054533749		0.230483438290973
PRG4	206007_at	6.744342809185e-06	-3.51411312344355	0.0472327414021858	-7.4844209837756	5.74617124766123e-21	-26.441593705398	0.091			0		0						
MDM2	217542_at	1.51252866663536e-20	19.6641098508348	0.000338562086089921	9.26200789688916	0.000843718685615906	10.0269410874178	0.957	X	0.000818974981468696	-2.44	0.0757841887403197	-1.34		303	2.70125702059374	-2.0422823720167		-1.3657244466062
METTL1	204027_s_at	5.51575459179787e-14	17.5114906078239	1.85019735289027e-06	9.10563596706791	1.65239743975854e-07	13.3625683185447	0.872	X		0		0		8714	77.6856557011679	-0.621682210737051		0.290271478275887
METTL21B	213861_s_at	2.58984479396475e-19	35.7441436894806	0.00443109688442697	6.92549503307018	5.05109418722701e-05	12.0808036684318	0			0		0						
TSFM	214331_at	6.90295351500196e-15	19.4579190483333	3.81701316835755e-06	9.0719708791571	0.000130843928041854	10.4547168073805	0.92	X		0		0		4957	44.1918516537399	-0.755217058082299		-0.293048172097751
WISP2	205792_at	1.04185591080027e-09	-12.0084321968015	0.0053032771187339	-10.1116417264528	9.51451168479498e-13	-36.6953860604754	0			0		0						
TYMS	202589_at	2.14137869306457e-18	19.0503890476827	0.000511731820600601	4.0845182121174	0.00778702334865869	4.07639528654688	0		0.000159220491373242	-2.55	3.17365112840781e-11	-11.12	X	3808	33.9484710706963	-0.797437185933869		-0.322872529309967
MYOC	210155_at	7.30737923932428e-09	-7.89622047400194	0.619507289787766	-2.22774334445488	3.03329615696869e-15	-61.2817942877405	0			0		0		4073	36.3109565837568	-0.787108428343319		-0.757875461716665
PRELP	37022_at	3.31252961891748e-13	-3.20250508880074	0.00304939697047001	-6.11885694965714	5.45567048603509e-08	-12.512167550617	0.118			0		0						
STX11	210190_at	1.21201824958585e-17	-7.86081284599778	0.00821005888845605	-3.5275203028496	0.0527836665429575	-3.30195709151099	0			0		0		4989	44.4771329232415	-0.767478957905731		-0.254512935549001
IGF2	202409_at	8.77052719869919e-10	4.98071351024607	7.25860829502856e-08	5.76485623122018	8.61642280622198e-05	6.03970467448324	0			0		0		9430	84.0688241062673	-0.0761836635493076		0.0380645692936467
AVIL	205539_at	4.16014223444348e-13	11.0694696359575	0.0249852618022407	4.28638274337859	2.64223235222891e-06	5.70343758033204	0.92	X		0		0		7494	66.8093073014175	-0.721130588507733		-0.168736913175322
TFF3	204623_at	0.000385891698376661	-1.63169745721156	2.57492200683881e-08	-39.4139941003839	4.79307151875399e-09	-46.7811336669717	0			0		0		5311	47.3477756976019	-0.908209034540763		-0.481629566208911
SMC4	201664_at	2.02762126901559e-16	4.78980782406796	0.0242969251118112	2.23196853526403	0.0669741602992271	2.39302930836343	0		0.00301850134549291	-2.09	2.95279775350455e-07	-4.38						
