	SYMBOL	adj.P.Val	FC	CHR	CHRLOC	mean.NF	mean.WD
209644_x_at	CDKN2A	1.19647378087751e-25	13.2516020380149	chr9	21994137	47.6193891237052	631.033193960713
202246_s_at	CDK4	1.71388535163246e-21	14.9568375015695	chr12	58142033	459.40666723797	6871.27086901592
207039_at	CDKN2A	2.06089980185149e-21	23.4717235372478	chr9	21967751	6.36729424292484	149.451370150241
217542_at	MDM2	1.51252866663536e-20	19.6641098508348	chr12	69238755	9.29746310656479	182.826335861574
213861_s_at	METTL21B	2.58984479396475e-19	35.7441436894806	chr12	58175349	17.8075289167699	636.514872355603
202589_at	TYMS;ENOSF1	2.14137869306457e-18	19.0503890476827	chr18	672859	17.6939977661298	337.077541253602
210190_at	STX11	1.21201824958585e-17	-7.86081284599778	chr6	144507759	52.115922060108	6.62983880689159
201664_at	SMC4;TRIM59	2.02762126901559e-16	4.78980782406796	chr3	160151444	63.6841411193315	305.034797402421
203227_s_at	TSPAN31;CDK4	8.00119028349492e-16	10.4585999115522	chr12	58140998	215.865150669109	2257.64724569514
211161_s_at	COL3A1	1.32900626147937e-15	4.48676985019108	chr2	189876628	2494.23838224535	11191.0735726478
210831_s_at	PTGER3	4.40246469061264e-15	-6.86985913819057	chr1	71512363	103.853207914843	15.117225233558
214331_at	TSFM;AVIL	6.90295351500196e-15	19.4579190483333	chr12	58190819	15.7260294841309	305.995808653921
215306_at	NA	7.34264485854887e-15	-7.03158552013947	NA	NA	58.3338892196516	8.29597948465178
208707_at	EIF5	8.98631087565686e-15	-5.51161262804923	chr14	103810199	42.8956982251306	7.78278538786079
208735_s_at	CTDSP2	1.60460556571649e-14	7.61060805948542	chr12	58216582	50.554386373024	384.749620372874
204026_s_at	ZWINT	1.81346384271039e-14	8.35714027680407	chr10	58117205	12.8110823877262	107.064012611921
203445_s_at	CTDSP2	1.97036653693315e-14	3.45158166523903	chr12	58214657	775.70419104917	2677.40636347438
212227_x_at	EIF1	3.28552953948649e-14	-1.87718982537612	chr17	39845136	15038.9676279818	8011.42613532357
210832_x_at	PTGER3	4.67859826627136e-14	-12.8035005781057	chr1	71512363	190.357932104116	14.8676474018076
204027_s_at	METTL1	5.51575459179787e-14	17.5114906078239	chr12	58162253	32.5782444124022	570.493621047175
204800_s_at	DHRS12	6.3507762287845e-14	-3.02669867991994	chr13	52342128	52.3226283314775	17.2870291577428
214140_at	SLC25A16	6.66442428118772e-14	-2.83804344950729	chr10	70242001	27.2444829431426	9.59974131046952
210374_x_at	PTGER3	6.66442428118772e-14	-7.61183655636385	chr1	71512363	146.228413973335	19.210661302374
202220_at	KIAA0907	8.42423551588163e-14	3.773050665932	chr1	155882835	129.320042775048	487.931073510748
220244_at	LINC00312	1.10507529232129e-13	-6.76888285851982	chr3	8613890	391.60961740895	57.8543942322831
206211_at	SELE	2.00923492383919e-13	-27.9852431633947	chr1	169692165	201.322527136171	7.19388164543464
212656_at	TSFM	2.76727413088787e-13	10.7524878431767	chr12	58189959	64.2908305540847	691.286373960526
212130_x_at	EIF1	3.26571797904009e-13	-1.80522875294769	chr17	39847366	10665.5379382155	5908.13652884714
37022_at	PRELP	3.31252961891748e-13	-3.20250508880074	chr1	203455909	21.0298832064419	6.56669782664327
